"Timestamp","¿Cómo la escribirías? n1.e1.f1","¿Cómo la escribirías? n1.e1.f2","¿Cómo la escribirías? n1.e1.f3","",""
"2015/11/24 9:07:45 PM GMT-3","( 3 por equis menos 2 ) multiplicado por 7 es igual a 0","(x elevado a $TERM$ por b) multiplicado por c","","",""
"2015/11/30 12:54:28 PM GMT-3","(3 x menos 2) por 7 es igual a 0","x elevado a la ($TERM$ por b) por c","la raiz sexta de 5","",""
"2015/11/30 1:55:27 PM GMT-3","(tres x menos dos) por 7 es igual a 7","x elevado a ($TERM$ por b) por c","raiz sexta de 5","",""
"2015/11/30 2:28:22 PM GMT-3","parentesis tres de exis menos dos fin parentesis por siete igual cero","","","",""
"2015/12/01 4:56:19 PM GMT-3","(3 X menos 2) por 7 es igual a 0","x a la $TERM$ por b por c ","raiz de 6 de 5","",""
"2015/12/02 9:53:32 AM GMT-3","(tres X menos dos) por siete igual a cero","(X elevado ($TERM$ por B)) por C","La raiz sextoava de cinco","",""
"2015/12/04 4:29:49 PM GMT-3","(3 x menos 2) todo eso por 7 igual a 0","x elevado a $TERM$ por b, todo eso por c","raiz sexta de 5","",""
"2015/12/04 4:31:11 PM GMT-3","","x elevado a la "" $TERM$ por b"", multiplicado por c","la raíz sexta de cinco","",""
"2016/02/29 9:25:46 AM GMT-3","(3 equis menos dos ) por 7 igual a 0","equis elevado a la $TERM$ por b por c","raiz sexta de cinco","",""
"2016/02/29 9:26:32 AM GMT-3","(3 x menos 2) por 7 igual a cero","(x elevado a la ($TERM$ por b)) por c","raiz sexta de 5","",""
"2016/02/29 11:18:02 AM GMT-3","Tres equis menos dos, todo ello multiplicado por siete, y a su vez igualado a cero.","Opciones:

Ce multiplicada por equis elevada al producto de $TERM$ por (o con) be.

Equis elevado al producto de $TERM$ por (o con) be, todo ello multiplicado por ce.","Opciones:

Raíz sexta de cinco.

Cinco elevado a un sexto.
","",""
"2016/02/29 11:58:56 AM GMT-3","tres por x menos 2. Todo esto por 7. El resultado igual a 0","x elevado a $TERM$ por b todo por c.","raiz sexta de cinco","",""
"2016/02/29 12:05:22 PM GMT-3","(3 x menos 2) por 7 es igual a 0","x elevado a la ($TERM$ por b) por c","raiz sexta de 5","",""
"2016/02/29 12:45:20 PM GMT-3","","producto entre x a la $TERM$ b por c","raiz sexta de 5","",""
"2016/02/29 3:36:33 PM GMT-3","(3 x menos dos) por 7 es igual a 0","","","",""
"2016/02/29 9:38:01 PM GMT-3","((3 x menos 2) por 7) igual a 0","(x elevado a la ($TERM$ por b)) por c","raíz sexta de 5","",""
"2016/03/01 7:37:25 AM GMT-3","(3 por x menos 2) por 7 es igual a 0","X elevado ($TERM$ por b) por c","","",""
"2016/03/02 1:46:59 AM GMT-3","""((3 x menos 2) por 7) igual a 0""
","(x a la ($TERM$ por b)) por c
","raíz 6 ésima de 5
","",""
"2016/03/02 5:25:55 AM GMT-3","tres equis menos dos, por siete, igual a cero","equis a la $TERM$ por be, por ce","raíz sexta de cinco","",""
"2016/03/05 6:04:17 PM GMT-3","Tres x menos dos por siete. igual a cero.","X elevado a $TERM$ y b. Todo eso, por c.","Cinco elevado a un sexto.","",""
"2016/03/07 10:34:36 PM GMT-3","(tres equis menos 2)  por 7 igual a cero","(equis elevado a $TERM$ por B), multiplicado por c","raiz sexta de cinco","",""
"2016/03/08 10:21:16 AM GMT-3","((3 x menos 2) multiplicado por 7) es igual a (0)","(x elevado a ($TERM$ por b)) muliplicado por c","raiz sexta de 5","",""
"2016/04/03 12:29:09 PM GMT-3","tres equis menos dos, por siete, igual a cero","equis elevado a la $TERM$ be, todo por c","raíz sexta de cinco","",""
"2016/04/03 12:40:30 PM GMT-3","(3 por x menos 2) por 7 es igual a 0","X a la $TERM$ por b es igual a c","","",""
"2016/04/03 12:48:45 PM GMT-3","(tres equis menos dos) por siete, igual a cero ","equis elevado potencia  $TERM$ por b,  c","raiz sexta de cinco","",""
"2016/04/03 12:50:43 PM GMT-3","( 3 X menos 2 ) por 7 igual a 0","X elevado a la potencia de $TERM$ por b, ese número multiplicado por c","Raíz sexta de 5","",""
"2016/04/03 1:05:13 PM GMT-3","(tres equis menos 2) por siete igual a cero","equis a la $TERM$ por b por c.","raiz sexta de cinco","",""
"2016/04/03 1:24:07 PM GMT-3","tres equis menos 2 por siete, igual a cero","equis, exponente $TERM$ por b, por ce","raíz seis de cinco","",""
"2016/04/03 1:44:03 PM GMT-3","((3 equis menos 2) multiplicado por 7) es igual a 0","((equis elevado a: $TERM$ por b) multiplicado por C))","raiz sexta de 5","",""
"2016/04/03 1:45:21 PM GMT-3","((3 x menos 2) por 7) es igual a 0","(x elevado a ($TERM$ por b)) multiplicado por c","(raiz sexta de 5)","",""
"2016/04/03 1:46:50 PM GMT-3","(3 X menos 2) multiplicado por 7 es igual a 0","(X elevado a $TERM$ por b) multiplicado por c","Raiz sexta de 5","",""
"2016/04/03 1:47:03 PM GMT-3","(3 X menos 2) multiplicado por 7 es igual a 0","(X elevado a $TERM$ por b) multiplicado por c","Raiz sexta de 5","",""
"2016/04/03 1:53:56 PM GMT-3","((((3 por x) menos 2) por 7) igual a 0)","((x elevado a la $TERM$ por b) por c)","raíz sexta de cinco","",""
